ImageNumber,ObjectNumber,Distance_Centroid_Cells,Distance_Centroid_Nuclei,Parent_Cells,Parent_Nuclei
1,167,46.429864393445406,25.69895996376979,3,3
1,168,61.02323425744067,43.5105837344341,3,3
1,169,40.88512458181599,20.68692869456718,3,3
1,170,75.9865874833397,96.43650950117869,4,4
1,171,74.07526777638905,94.95022244325568,4,4
1,172,64.03095693053915,95.81777929611033,1,1
1,173,79.72698123864768,78.44170744261481,3,3
1,174,75.60392369865995,73.7014219574062,3,3
1,175,40.874516895243026,25.141941114931853,3,3
1,176,83.76370924794543,69.9444442539288,3,3
1,177,39.18997363668328,21.8713973055318,3,3
1,178,39.89156642080937,18.66004427257754,3,3
1,179,40.70233148917966,19.321147138278732,3,3
1,180,53.38903437738301,35.1818502740876,3,3
1,181,55.10253460333503,37.42750376315435,3,3
1,182,45.6824811214812,26.278509969957152,3,3
1,183,49.448746815493436,31.071552639249965,3,3
1,184,75.43765095611057,93.84156609358119,4,4
1,185,40.958265347554416,79.44062153601783,4,4
1,186,75.6087469783589,74.8099494133333,3,3
1,187,62.698203089203254,60.186442789113315,3,3
1,188,46.95613659742654,28.062098848063695,3,3
1,189,50.659225977172724,33.22630608342591,3,3
1,190,79.72923485560064,66.38319157496915,3,3
1,191,65.20500293732225,63.48097367564742,3,3
1,192,37.44983052001053,23.83875837563547,3,3
1,193,34.7952757431928,15.847722469394329,3,3
1,194,36.52243893183687,15.230139006444356,3,3
1,195,54.74327876057443,37.945477891405964,3,3
1,196,47.0553175068503,79.2882334808687,4,4
1,197,68.9983889239025,67.99686133118142,3,3
1,198,41.812803389127794,33.687502968852606,3,3
1,199,40.97265804958967,31.53279944399315,3,3
1,200,47.08413026887324,29.56848409835097,3,3
1,201,58.148250509647184,42.72809599083085,3,3
1,202,82.90468756637874,70.25794289476869,3,3
1,203,49.77964725527859,45.62052843615201,3,3
1,204,34.185519644784435,19.229003612647812,3,3
1,205,33.47870926940717,13.041997691205466,3,3
1,206,41.22834577298799,21.61100669863824,3,3
1,207,84.97329428349555,72.78210689948003,3,3
1,208,87.2888612025167,75.02166459513015,3,3
1,209,74.88815820874555,91.35735830473743,4,4
1,210,55.90971186729163,81.22553634424285,4,4
1,211,50.936674012082925,78.60976776954743,4,4
1,212,73.8874564516058,60.839452467256876,3,3
1,213,41.5161696755961,75.21781078304548,4,4
1,214,37.35647191425797,74.0745875504037,4,4
1,215,34.29968705057232,13.09490238242131,3,3
1,216,68.98245145013412,55.811778601135146,3,3
